subj_idx,species,coh,rt,response,subjectID
238,human,0.32,0.514203,1,459
238,human,0.04,2.529925,1,459
238,human,0.08,0.597148,1,459
238,human,0.12,0.664937,1,459
238,human,0.04,2.213436,0,459
238,human,0.08,0.681068,1,459
238,human,0.08,0.664158,1,459
238,human,0.32,0.514572,1,459
238,human,0.02,0.530938,1,459
238,human,0.06,0.697555,1,459
238,human,0.02,0.514239,1,459
238,human,0.02,1.013636,0,459
238,human,0.02,1.480529,1,459
238,human,0.02,0.964131,1,459
238,human,0.12,0.947659,1,459
238,human,0.06,0.98801,1,459
238,human,0.12,0.997361,1,459
238,human,0.24,0.580896,1,459
238,human,0.02,2.996372,0,459
238,human,0.12,0.780954,1,459
238,human,0.32,0.664393,1,459
238,human,0.12,3.329752,1,459
238,human,0.02,1.39713,1,459
238,human,0.06,0.830877,1,459
238,human,0.12,0.597485,1,459
238,human,0.06,0.664148,1,459
238,human,0.06,3.229899,1,459
238,human,0.06,1.047309,1,459
238,human,0.02,0.780486,0,459
238,human,0.16,0.730809,1,459
238,human,0.04,1.131628,1,459
238,human,0.08,0.664389,1,459
238,human,0.06,1.297208,1,459
238,human,0.02,1.163989,1,459
238,human,0.02,0.747082,1,459
238,human,0.12,0.614806,1,459
238,human,0.06,1.146983,1,459
238,human,0.32,0.514254,1,459
238,human,0.04,0.66425,1,459
238,human,0.04,1.014225,1,459
238,human,0.06,0.863581,1,459
238,human,0.04,1.597068,0,459
238,human,0.04,4.245747,1,459
238,human,0.04,0.881003,1,459
238,human,0.16,0.630829,1,459
238,human,0.12,0.681099,1,459
238,human,0.08,0.63085,1,459
238,human,0.08,0.964327,1,459
238,human,0.24,0.614033,1,459
238,human,0.08,0.814131,1,459
238,human,0.16,0.547624,1,459
238,human,0.12,0.513865,1,459
238,human,0.24,0.497179,1,459
238,human,0.08,1.514003,1,459
238,human,0.08,0.747098,1,459
238,human,0.12,0.664195,1,459
238,human,0.04,0.530806,1,459
238,human,0.06,1.746942,1,459
238,human,0.02,0.930343,1,459
238,human,0.02,0.713986,1,459
238,human,0.16,0.647515,1,459
238,human,0.12,0.597616,1,459
238,human,0.06,1.047162,1,459
238,human,0.08,0.580691,1,459
238,human,0.02,0.581178,1,459
238,human,0.08,0.63102,1,459
238,human,0.12,1.630323,1,459
238,human,0.12,0.614137,1,459
238,human,0.04,1.963375,1,459
238,human,0.12,0.847607,1,459
238,human,0.08,0.647176,1,459
238,human,0.32,0.480931,1,459
238,human,0.02,2.013161,1,459
238,human,0.02,1.313673,1,459
238,human,0.24,0.580582,1,459
238,human,0.02,0.947631,0,459
238,human,0.08,0.647444,1,459
238,human,0.12,0.547581,1,459
238,human,0.12,0.714391,1,459
238,human,0.02,1.030716,0,459
238,human,0.24,0.589765,1,459
238,human,0.06,0.946968,0,459
238,human,0.16,0.564216,1,459
238,human,0.06,1.73016,1,459
238,human,0.16,0.547299,1,459
238,human,0.06,2.746353,1,459
238,human,0.08,0.564468,1,459
238,human,0.06,0.481047,0,459
238,human,0.12,2.263631,1,459
238,human,0.08,0.847006,1,459
238,human,0.24,0.49718,1,459
238,human,0.08,1.263704,1,459
238,human,0.08,0.531135,1,459
238,human,0.12,0.697958,1,459
238,human,0.06,1.347139,1,459
238,human,0.08,0.663779,1,459
238,human,0.06,0.497193,1,459
238,human,0.12,1.197115,1,459
238,human,0.32,0.481105,1,459
238,human,0.12,0.581163,1,459
238,human,0.06,1.047375,1,459
238,human,0.04,0.597569,1,459
238,human,0.02,0.630904,0,459
238,human,0.04,1.730222,1,459
238,human,0.04,1.097173,1,459
238,human,0.12,0.647714,1,459
238,human,0.06,1.13059,1,459
238,human,0.06,0.797414,1,459
238,human,0.08,0.830284,1,459
238,human,0.32,0.664522,1,459
238,human,0.06,1.53037,1,459
238,human,0.04,0.864044,1,459
238,human,0.04,0.71417,1,459
238,human,0.06,2.279823,1,459
238,human,0.02,1.046922,1,459
238,human,0.12,0.813926,1,459
238,human,0.06,0.764086,1,459
238,human,0.06,1.163788,1,459
238,human,0.12,1.03035,1,459
238,human,0.04,0.713769,1,459
238,human,0.06,0.663739,1,459
238,human,0.04,0.847245,1,459
238,human,0.08,0.564663,1,459
238,human,0.12,0.76397,1,459
238,human,0.12,0.547283,1,459
238,human,0.06,0.797614,1,459
238,human,0.06,0.880331,1,459
238,human,0.02,0.814131,1,459
238,human,0.08,0.680427,1,459
238,human,0.08,0.563837,0,459
238,human,0.08,0.747669,1,459
238,human,0.02,1.813842,1,459
238,human,0.02,0.99733,1,459
238,human,0.06,1.014099,1,459
238,human,0.32,0.56422,1,459
238,human,0.08,0.563774,1,459
238,human,0.06,0.863869,1,459
238,human,0.08,0.63087,1,459
238,human,0.08,1.046784,1,459
238,human,0.32,0.564199,1,459
238,human,0.16,0.580898,1,459
238,human,0.06,0.580775,1,459
238,human,0.02,0.680593,1,459
238,human,0.12,0.847052,1,459
238,human,0.08,1.064196,1,459
238,human,0.12,0.747406,1,459
238,human,0.16,0.572675,1,459
238,human,0.16,0.84745,1,459
238,human,0.06,0.529955,1,459
238,human,0.04,2.06308,1,459
238,human,0.16,0.597352,1,459
238,human,0.02,1.330343,1,459
238,human,0.08,1.113876,1,459
238,human,0.12,0.780752,1,459
238,human,0.08,0.699175,1,459
238,human,0.12,0.830915,1,459
238,human,0.12,0.59792,1,459
238,human,0.06,0.547456,1,459
238,human,0.04,2.02989,0,459
238,human,0.08,0.647746,1,459
238,human,0.08,2.896247,1,459
238,human,0.08,0.564068,1,459
238,human,0.02,1.813234,1,459
238,human,0.02,1.279968,0,459
238,human,0.16,0.564451,1,459
238,human,0.12,0.697097,1,459
238,human,0.06,1.147466,1,459
238,human,0.16,0.980264,1,459
238,human,0.08,1.24742,1,459
238,human,0.06,0.780795,1,459
238,human,0.12,0.614263,1,459
238,human,0.12,0.630896,1,459
238,human,0.16,0.714035,1,459
238,human,0.12,0.630617,1,459
238,human,0.06,1.646825,1,459
238,human,0.12,0.663978,1,459
238,human,0.06,0.763928,1,459
238,human,0.06,0.796968,1,459
238,human,0.06,0.530891,1,459
238,human,0.02,1.846556,0,459
238,human,0.02,1.330785,1,459
238,human,0.24,0.514211,1,459
238,human,0.16,0.730803,1,459
238,human,0.08,1.397298,1,459
238,human,0.24,0.663881,1,459
238,human,0.12,0.647757,1,459
238,human,0.06,1.597266,1,459
238,human,0.08,0.913892,1,459
238,human,0.24,0.613792,1,459
238,human,0.02,1.230195,1,459
238,human,0.04,1.64703,0,459
238,human,0.04,0.980915,1,459
238,human,0.06,1.097556,1,459
238,human,0.16,0.613859,1,459
238,human,0.08,1.163926,1,459
238,human,0.04,0.797701,1,459
238,human,0.16,0.530989,1,459
238,human,0.16,0.56364,1,459
238,human,0.08,0.664444,1,459
238,human,0.06,0.830388,1,459
238,human,0.02,1.663261,1,459
238,human,0.02,1.713723,1,459
238,human,0.04,0.996803,1,459
238,human,0.02,0.797057,1,459
238,human,0.08,0.863872,1,459
238,human,0.04,0.847155,1,459
238,human,0.06,0.663761,1,459
