subj_idx,species,coh,rt,response,subjectID
8,rat,0.8,0.687568,1,381
8,rat,1,0.567548,0,381
8,rat,0.7,0.597484,1,381
8,rat,0.9,0.477556,0,381
8,rat,0.6,0.737544,1,381
8,rat,0.8,0.627527,0,381
8,rat,1,0.79751,1,381
8,rat,1,0.587532,1,381
8,rat,0.6,0.637544,0,381
8,rat,1,0.837257,1,381
8,rat,1,0.857563,1,381
8,rat,0.7,0.547558,1,381
8,rat,0.8,0.727513,1,381
8,rat,0.9,0.727471,1,381
8,rat,0.8,0.487525,0,381
8,rat,0.9,1.217517,1,381
8,rat,0.8,1.547442,1,381
8,rat,0.7,1.447541,1,381
8,rat,1,1.357468,1,381
8,rat,1,1.08754,1,381
8,rat,0.6,0.727499,1,381
8,rat,0.8,0.667483,1,381
8,rat,0.6,0.94749,0,381
8,rat,0.8,0.717546,1,381
8,rat,0.8,0.797504,1,381
8,rat,0.7,0.657561,0,381
8,rat,1,0.59753,1,381
8,rat,1,0.70758,0,381
8,rat,0.7,0.697563,1,381
8,rat,1,0.677568,0,381
8,rat,0.8,0.787526,0,381
8,rat,1,0.61751,1,381
8,rat,0.7,0.817552,1,381
8,rat,0.6,1.257548,1,381
8,rat,1,0.747537,1,381
8,rat,0.9,0.747614,1,381
8,rat,0.6,0.717468,0,381
8,rat,0.7,0.867535,1,381
8,rat,0.7,0.527626,1,381
8,rat,0.8,0.51759,0,381
8,rat,0.8,0.697504,0,381
8,rat,0.9,1.167505,1,381
8,rat,0.6,0.767536,0,381
8,rat,0.9,0.667589,1,381
8,rat,0.9,1.237489,1,381
8,rat,0.6,0.977544,1,381
8,rat,0.6,0.497562,0,381
8,rat,0.8,0.497527,1,381
8,rat,0.9,0.687602,1,381
8,rat,1,0.757559,1,381
8,rat,1,0.757468,1,381
8,rat,0.9,0.617524,0,381
8,rat,0.6,0.707539,1,381
8,rat,0.9,1.397529,1,381
8,rat,0.9,1.02755,1,381
8,rat,0.8,1.067538,0,381
8,rat,0.8,0.887529,1,381
8,rat,1,0.877548,1,381
8,rat,1,0.697548,1,381
8,rat,0.6,1.027582,1,381
8,rat,1,1.267469,1,381
8,rat,0.7,1.137475,1,381
8,rat,0.9,1.197564,1,381
8,rat,0.8,1.2775,1,381
8,rat,1,0.807523,1,381
8,rat,0.9,0.827488,1,381
8,rat,0.6,0.757544,0,381
8,rat,0.6,0.557479,1,381
8,rat,0.8,0.827504,0,381
